104.28.39.31,142.93.221.230,441,2.996908000
142.93.221.230,104.28.39.31,673,2.998482000
104.28.39.31,142.93.221.230,442,3.863710000
142.93.221.230,104.28.39.31,660,4.192520000
104.28.39.31,142.93.221.230,524,4.445233000
104.28.39.31,142.93.221.230,448,4.446822000
104.28.39.31,142.93.221.230,463,4.775339000
142.93.221.230,104.28.39.31,515,4.787178000
142.93.221.230,104.28.39.31,735,4.790460000
104.28.39.31,142.93.221.230,445,5.353888000
104.28.39.31,142.93.221.230,499,5.353888000
142.93.221.230,104.28.39.31,1036,5.356004000
104.28.39.31,142.93.221.230,458,5.359854000
142.93.221.230,104.28.39.31,1169,5.360877000
142.93.221.230,104.28.39.31,1444,5.427813000
104.28.39.31,142.93.221.230,524,5.973852000
104.28.39.31,142.93.221.230,471,6.049349000
142.93.221.230,104.28.39.31,58,6.050740000
104.28.39.31,142.93.221.230,472,6.309464000
104.28.39.31,142.93.221.230,505,6.311058000
142.93.221.230,104.28.39.31,1419,6.313394000
142.93.221.230,104.28.39.31,760,6.313778000
104.28.39.31,142.93.221.230,482,6.314658000
142.93.221.230,104.28.39.31,1305,6.319960000
104.28.39.31,142.93.221.230,470,6.319975000
142.93.221.230,104.28.39.31,886,6.320942000
142.93.221.230,104.28.39.31,826,6.626006000
104.28.39.31,142.93.221.230,628,6.832229000
142.93.221.230,104.28.39.31,268,7.465059000
104.28.39.31,142.93.221.230,815,8.580947000
142.93.221.230,104.28.39.31,260,8.582518000
104.28.39.31,142.93.221.230,816,8.920806000
104.28.39.31,142.93.221.230,742,8.940635000
142.93.221.230,104.28.39.31,153,8.942398000
142.93.221.230,104.28.39.31,666,9.559375000
104.28.39.37,142.93.221.230,441,34.143183000
142.93.221.230,104.28.39.37,673,34.144188000
104.28.39.37,142.93.221.230,442,34.548416000
142.93.221.230,104.28.39.37,1277,34.873982000
104.28.39.37,142.93.221.230,589,34.948244000
104.28.39.37,142.93.221.230,581,34.949476000
142.93.221.230,104.28.39.37,1446,34.957425000
104.28.39.37,142.93.221.230,580,35.252905000
142.93.221.230,104.28.39.37,59,35.259413000
104.28.39.37,142.93.221.230,557,35.286638000
142.93.221.230,104.28.39.37,1414,35.287456000
142.93.221.230,104.28.39.37,625,35.288461000
104.28.39.37,142.93.221.230,583,35.299290000
104.28.39.37,142.93.221.230,557,35.300064000
104.28.39.37,142.93.221.230,564,35.300915000
142.93.221.230,104.28.39.37,1278,35.302045000
142.93.221.230,104.28.39.37,1205,35.305357000
142.93.221.230,104.28.39.37,1032,35.632083000
104.28.39.37,142.93.221.230,562,35.768782000
142.93.221.230,104.28.39.37,316,35.771062000
104.28.39.37,142.93.221.230,548,35.771716000
104.28.39.37,142.93.221.230,504,35.773557000
104.28.39.37,142.93.221.230,547,35.775085000
142.93.221.230,104.28.39.37,1270,35.775685000
104.28.39.37,142.93.221.230,542,35.776769000
142.93.221.230,104.28.39.37,1385,35.777748000
142.93.221.230,104.28.39.37,924,35.777989000
142.93.221.230,104.28.39.37,515,35.783160000
104.28.39.37,142.93.221.230,523,35.983242000
142.93.221.230,104.28.39.37,1403,35.985332000
104.28.39.37,142.93.221.230,515,36.114404000
142.93.221.230,104.28.39.37,836,36.116663000
104.28.39.37,142.93.221.230,546,36.117771000
104.28.39.37,142.93.221.230,537,36.119173000
142.93.221.230,104.28.39.37,208,36.119674000
142.93.221.230,104.28.39.37,90,36.121452000
104.28.39.37,142.93.221.230,545,36.122496000
142.93.221.230,104.28.39.37,1086,36.123968000
104.28.39.37,142.93.221.230,536,36.139445000
142.93.221.230,104.28.39.37,1385,36.140953000
104.28.39.37,142.93.221.230,537,36.329642000
142.93.221.230,104.28.39.37,1190,36.330636000
104.28.39.37,142.93.221.230,540,36.453829000
142.93.221.230,104.28.39.37,1443,36.454849000
104.28.39.37,142.93.221.230,503,36.455447000
142.93.221.230,104.28.39.37,1102,36.456184000
104.28.39.37,142.93.221.230,564,36.457606000
142.93.221.230,104.28.39.37,932,36.458379000
104.28.39.37,142.93.221.230,540,36.459266000
104.28.39.37,142.93.221.230,580,36.481236000
142.93.221.230,104.28.39.37,1252,36.482930000
104.28.39.37,142.93.221.230,578,36.673696000
142.93.221.230,104.28.39.37,994,36.682737000
104.28.39.37,142.93.221.230,574,36.790203000
142.93.221.230,104.28.39.37,907,36.791695000
104.28.39.37,142.93.221.230,543,36.791945000
104.28.39.37,142.93.221.230,466,36.793846000
