104.28.39.34,142.93.221.230,441,0.346294000
142.93.221.230,104.28.39.34,673,0.346682000
104.28.39.34,142.93.221.230,442,0.688573000
142.93.221.230,104.28.39.34,660,1.019186000
104.28.39.34,142.93.221.230,448,1.112183000
104.28.39.34,142.93.221.230,524,1.112183000
142.93.221.230,104.28.39.34,736,1.445629000
104.28.39.34,142.93.221.230,463,1.725040000
142.93.221.230,104.28.39.34,515,1.735856000
142.93.221.230,104.28.39.34,452,2.087527000
104.28.39.34,142.93.221.230,458,2.229051000
142.93.221.230,104.28.39.34,1169,2.230048000
104.28.39.34,142.93.221.230,445,2.230985000
142.93.221.230,104.28.39.34,1036,2.232066000
104.28.39.34,142.93.221.230,499,2.232691000
104.28.39.34,142.93.221.230,524,2.648985000
104.28.39.34,142.93.221.230,471,2.705939000
142.93.221.230,104.28.39.34,58,2.707659000
104.28.39.34,142.93.221.230,482,2.723031000
104.28.39.34,142.93.221.230,505,2.725009000
142.93.221.230,104.28.39.34,1305,2.726225000
142.93.221.230,104.28.39.34,1419,2.727150000
104.28.39.34,142.93.221.230,472,2.728770000
104.28.39.34,142.93.221.230,470,2.990774000
142.93.221.230,104.28.39.34,886,2.991864000
142.93.221.230,104.28.39.34,826,3.046887000
142.93.221.230,104.28.39.34,760,3.204465000
104.28.39.34,142.93.221.230,627,3.398995000
142.93.221.230,104.28.39.34,268,4.038810000
104.28.39.34,142.93.221.230,821,4.806814000
104.28.39.34,142.93.221.230,812,4.806941000
104.28.39.34,142.93.221.230,821,4.807445000
142.93.221.230,104.28.39.34,880,4.808034000
142.93.221.230,104.28.39.34,72,4.808401000
142.93.221.230,104.28.39.34,1263,4.808544000
104.28.39.34,142.93.221.230,817,4.809481000
142.93.221.230,104.28.39.34,1367,5.136369000
104.28.39.34,142.93.221.230,741,5.200701000
142.93.221.230,104.28.39.34,153,5.202385000
104.28.39.34,142.93.221.230,820,5.973993000
104.28.39.34,142.93.221.230,826,5.973994000
142.93.221.230,104.28.39.34,124,5.976194000
104.28.39.34,142.93.221.230,815,6.038004000
142.93.221.230,104.28.39.34,1232,6.609790000
