source_ip,destination_ip,packet_size,time_diff
131.202.240.150,54.208.229.126,1055,0.0
54.208.229.126,131.202.240.150,302,0.0
131.202.240.150,23.21.145.72,805,0.0
23.21.145.72,131.202.240.150,279,0.0
131.202.240.150,54.208.229.126,1055,5.496044874191284
54.208.229.126,131.202.240.150,302,5.495175123214722
131.202.240.150,54.208.229.126,1055,5.500409126281738
54.208.229.126,131.202.240.150,302,5.5023579597473145
131.202.240.150,54.85.30.170,416,0.0
54.85.30.170,131.202.240.150,2126,0.0
131.202.240.150,54.236.74.27,1055,0.0
54.236.74.27,131.202.240.150,302,0.0
131.202.240.150,54.236.74.27,1055,5.360198974609375
54.236.74.27,131.202.240.150,302,5.359436988830566
131.202.240.150,23.21.145.72,843,28.024481058120728
23.21.145.72,131.202.240.150,279,28.024138927459717
131.202.240.150,23.21.145.72,805,1.9771409034729004
23.21.145.72,131.202.240.150,279,1.9768640995025635
131.202.240.150,54.236.74.27,1055,16.56009817123413
54.236.74.27,131.202.240.150,302,16.5629620552063
