src_ip,dest_ip,original_class,z_n,s_n,new_class
10.8.8.130,207.241.227.188,tunneling http trafficc,2.9258285728542535e-05,2.316052259835641e-94,regular http traffic
10.8.8.130,207.241.227.212,tunneling http trafficc,2.5911175753585208e-05,2.566969268658072e-94,regular http traffic
10.8.8.130,207.241.228.122,tunneling http trafficc,2.8309838857809973e-05,2.3652942884300963e-94,regular http traffic
10.8.8.130,207.241.236.176,tunneling http trafficc,2.667665397600095e-05,2.5431435453339365e-94,regular http traffic
10.8.8.130,207.241.237.128,tunneling http trafficc,3.019253975166134e-05,2.300535942882261e-94,regular http traffic
10.8.8.138,185.2.220.137,tunneling http trafficc,5.762424710078242e-05,1.1680658213561489e-94,regular http traffic
10.8.8.138,24.156.130.203,tunneling http trafficc,3.949407170484691e-05,2.0561962848706074e-94,regular http traffic
185.2.220.137,10.8.8.138,tunneling http trafficc,4.9573878957687695e-05,2.0450897637023115e-94,regular http traffic
207.241.227.188,10.8.8.130,tunneling http trafficc,2.649901092308382e-05,1.8976982132162512e-94,regular http traffic
207.241.227.212,10.8.8.130,tunneling http trafficc,2.1657543259365027e-05,2.4113427152750324e-94,regular http traffic
207.241.227.82,10.8.8.130,tunneling http trafficc,2.2091183777024115e-05,2.429742018177328e-94,regular http traffic
207.241.228.122,10.8.8.130,tunneling http trafficc,2.2091184879405387e-05,2.852140285650829e-94,regular http traffic
207.241.236.176,10.8.8.130,tunneling http trafficc,2.1513926836868974e-05,3.0583039142668977e-94,regular http traffic
207.241.237.128,10.8.8.130,tunneling http trafficc,2.2309557217522685e-05,1.8799399422295558e-94,regular http traffic
24.156.130.203,10.8.8.138,tunneling http trafficc,4.62322561892e-05,2.58444805409417e-94,regular http traffic
