src_ip,dest_ip,pkt_size,time_diff,original_class
104.24.7.103,10.8.0.6,1348,0.10420200000044133,regular http traffic
104.24.7.103,10.8.0.6,526,0.005923999999140506,regular http traffic
104.24.7.103,10.8.0.6,57,0.2011290000009467,regular http traffic
104.24.7.103,10.8.0.6,888,0.002576999999291729,regular http traffic
104.24.7.103,10.8.0.6,144,0.0034849999992729863,regular http traffic
104.24.7.103,10.8.0.6,528,0.04051700000127312,regular http traffic
104.24.7.103,10.8.0.6,1129,0.0004890000000159489,regular http traffic
104.24.7.103,10.8.0.6,260,0.006596999999601394,regular http traffic
104.24.7.103,10.8.0.6,227,0.007831000000805943,regular http traffic
104.24.7.103,10.8.0.6,339,0.013163999999960652,regular http traffic
104.24.7.103,10.8.0.6,1306,0.011571999999432592,regular http traffic
104.24.7.103,10.8.0.6,1166,0.019095999999990454,regular http traffic
104.24.7.103,10.8.0.6,444,0.04054399999949965,regular http traffic
104.24.7.103,10.8.0.6,539,0.009939999999915017,regular http traffic
104.24.7.103,10.8.0.6,977,0.0052680000007967465,regular http traffic
104.24.7.103,10.8.0.6,720,0.005902999999307212,regular http traffic
104.24.7.103,10.8.0.6,815,0.0409300000010262,regular http traffic
104.24.7.103,10.8.0.6,774,0.015782999998918967,regular http traffic
104.24.7.103,10.8.0.6,1220,0.03492200000073353,regular http traffic
104.24.7.103,10.8.0.6,243,0.0024469999989378266,regular http traffic
104.24.7.103,10.8.0.6,1115,0.0001160000010713702,regular http traffic
104.24.7.103,10.8.0.6,872,0.023240999998961342,regular http traffic
104.24.7.103,10.8.0.6,328,0.01489899999978661,regular http traffic
104.24.7.103,10.8.0.6,255,0.02035700000124052,regular http traffic
104.24.7.103,10.8.0.6,267,0.000647999999273452,regular http traffic
104.24.7.103,10.8.0.6,1227,0.014764999999897555,regular http traffic
104.24.7.103,10.8.0.6,1361,0.014468999999735388,regular http traffic
104.24.7.103,10.8.0.6,1253,0.024176000000807107,regular http traffic
104.24.7.103,10.8.0.6,1388,0.006185000000186847,regular http traffic
104.24.7.103,10.8.0.6,1257,0.003307999999378808,regular http traffic
104.24.7.103,10.8.0.6,1298,0.0007679999998799758,regular http traffic
104.24.7.103,10.8.0.6,1374,0.029252000000269618,regular http traffic
104.24.7.103,10.8.0.6,337,0.0037290000000211876,regular http traffic
104.24.7.103,10.8.0.6,1325,0.0007989999994606478,regular http traffic
104.24.7.103,10.8.0.6,1200,0.010535999999774504,regular http traffic
104.24.7.103,10.8.0.6,45,6.343335000001389,regular http traffic
