src_ip,dest_ip,original_class,z_n,s_n,new_class
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,0.00027484455761816616,3.1374283773919204e-94,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
0,0,tunneling http traffic,0.00046533667507224854,2.795533045803266e-93,regular http traffic
0,0,regular http traffic,0.0003809417630493061,7.0,tunneling http traffic
0,0,tunneling http traffic,9.251742655346494e-07,1.9564246046758255e-94,regular http traffic
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,0.00036759743325511185,8.330611513108111e-94,regular http traffic
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,0.0004713821484706809,1.5543958742195937e-94,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
0,0,tunneling http traffic,0.0004386713767868802,3.135474783722829e-94,regular http traffic
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,0.0003043056541612228,8.724832554347406e-96,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
0,0,tunneling http traffic,0.00011733219924964533,3.3439269548872264e-93,regular http traffic
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,0.00017695367870303248,5.856242510381151e-94,regular http traffic
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,0.0003368961948457821,4.241073088122112e-96,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
0,0,tunneling http traffic,0.0004454105275099354,1.9849251817997105e-95,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
0,0,tunneling http traffic,0.00046663073836348016,3.469051731684693e-96,regular http traffic
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,2.819270486657754e-05,7.086472613286554e-96,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
0,0,tunneling http traffic,0.0002756346746908261,3.4365010526814537e-96,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
0,0,tunneling http traffic,0.0002796299309476812,3.936315426816427e-96,regular http traffic
0,0,regular http traffic,0.0,8.0,tunneling http traffic
0,0,tunneling http traffic,0.00019206461575292733,3.5829612520947144e-96,regular http traffic
0,0,regular http traffic,0.0,9.0,tunneling http traffic
