packet_size,time_diff
266,0.0
1219,0.0
273,2.1704940795898438
1006,2.170905113220215
294,0.18948101997375488
575,0.18872690200805664
274,0.16228890419006348
865,0.16521000862121582
295,0.14726901054382324
575,0.14424610137939453
275,0.31860995292663574
157,0.319058895111084
296,0.28943800926208496
575,0.29401302337646484
275,0.8330259323120117
167,0.8288779258728027
296,0.18642306327819824
575,0.18851709365844727
279,0.38318800926208496
686,0.3803720474243164
300,0.2088620662689209
575,0.20896482467651367
277,0.9153950214385986
941,0.9153990745544434
277,0.1877880096435547
332,0.18803000450134277
277,0.1388390064239502
238,0.1394801139831543
279,0.13599395751953125
593,0.13531780242919922
279,0.21872186660766602
631,0.21885418891906738
279,0.13762402534484863
802,0.13793182373046875
1292,0.0
378,0.0
977,61.19155216217041
1300,0.06766200065612793
591,61.18181395530701
378,0.13909006118774414
343,0.0
82,0.0
595,0.0
833,0.0
489,0.0
833,0.0
352,0.0
452,0.0
